Day of week,Date,distance,Time,Pace,MD,Month,Year
Thursday,7/2/2009,3.5,0:35:31,0:10:09,7/2/20,7,2009
Monday,6/29/2009,4.06,0:41:36,0:10:15,6/29/20,6,2009
Saturday,6/27/2009,3.99,0:41:46,0:10:28,6/27/20,6,2009
Thursday,6/25/2009,4.48,0:45:39,0:10:11,6/25/20,6,2009
Wednesday,6/24/2009,2.92,0:27:10,0:09:18,6/24/20,6,2009
Monday,6/22/2009,3.59,0:37:45,0:10:31,6/22/20,6,2009
Friday,6/19/2009,4,0:41:38,0:10:24,6/19/20,6,2009
Wednesday,6/17/2009,5.46,0:58:05,0:10:38,6/17/20,6,2009
Monday,6/15/2009,4.01,0:42:51,0:10:41,6/15/20,6,2009
Friday,6/12/2009,4.01,0:41:31,0:10:21,6/12/20,6,2009
Wednesday,6/10/2009,4,0:41:11,0:10:18,6/10/20,6,2009
Monday,6/8/2009,3.53,0:36:46,0:10:25,6/8/20,6,2009
Saturday,6/6/2009,3.18,0:34:01,0:10:42,6/6/20,6,2009
Thursday,6/4/2009,4.05,0:40:43,0:10:03,6/4/20,6,2009
Thursday,5/28/2009,3.58,0:37:35,0:10:30,5/28/20,5,2009
Monday,5/25/2009,3.22,0:34:55,0:10:51,5/25/20,5,2009
Saturday,5/23/2009,5.01,0:34:55,0:06:58,5/23/20,5,2009
Tuesday,5/19/2009,3.51,0:36:54,0:10:31,5/19/20,5,2009
Sunday,5/17/2009,3.16,0:33:00,0:10:27,5/17/20,5,2009
Thursday,5/14/2009,4.09,0:43:48,0:10:43,5/14/20,5,2009
Monday,5/11/2009,3.66,0:38:08,0:10:25,5/11/20,5,2009
Friday,5/8/2009,3.15,0:33:37,0:10:40,5/8/20,5,2009
Tuesday,4/28/2009,3.02,0:32:42,0:10:50,4/28/20,4,2009
Saturday,4/25/2009,3,0:32:24,0:10:48,4/25/20,4,2009
Saturday,4/18/2009,3.05,0:33:03,0:10:50,4/18/20,4,2009
Thursday,4/16/2009,3.55,0:37:14,0:10:29,4/16/20,4,2009
Monday,4/13/2009,3.22,0:34:06,0:10:35,4/13/20,4,2009
Friday,4/10/2009,2.88,0:30:25,0:10:34,4/10/20,4,2009
Tuesday,3/24/2009,3,0:31:31,0:10:30,3/24/20,3,2009
Sunday,3/22/2009,3.83,0:49:10,0:12:50,3/22/20,3,2009
Friday,3/13/2009,2.91,0:30:14,0:10:23,3/13/20,3,2009
Monday,3/9/2009,3.24,0:40:03,0:12:22,3/9/20,3,2009
Thursday,3/5/2009,2.76,0:30:14,0:10:57,3/5/20,3,2009
Thursday,2/26/2009,3.03,0:34:41,0:11:27,2/26/20,2,2009
Monday,2/23/2009,2.02,0:24:31,0:12:08,2/23/20,2,2009
Friday,2/20/2009,3.03,0:35:25,0:11:41,2/20/20,2,2009
Monday,2/16/2009,3.22,0:38:49,0:12:03,2/16/20,2,2009
Friday,2/13/2009,3.21,0:38:12,0:11:54,2/13/20,2,2009
Monday,2/9/2009,3.47,0:39:37,0:11:25,2/9/20,2,2009
Monday,2/2/2009,3.17,0:42:41,0:13:28,2/2/20,2,2009
Thursday,1/22/2009,3.3,0:38:27,0:11:39,1/22/20,1,2009
Tuesday,1/13/2009,3,0:37:34,0:12:31,1/13/20,1,2009
Friday,1/9/2009,2.74,0:40:13,0:14:41,1/9/20,1,2009
,,,,,,,
,,,,,,,
,,,,,,,
